"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Chest Fly (Machine)",,"",0,"warmup",52.3,8,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Chest Fly (Machine)",,"",1,"warmup",79.5,3,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Chest Fly (Machine)",,"",2,"warmup",104.5,2,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Chest Fly (Machine)",,"",3,"normal",104.5,10,,,10
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Chest Fly (Machine)",,"",4,"normal",104.5,7,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Incline Bench Press (Dumbbell)",,"",0,"warmup",56,6,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Incline Bench Press (Dumbbell)",,"",1,"warmup",72,2,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Incline Bench Press (Dumbbell)",,"",2,"warmup",80,1,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Incline Bench Press (Dumbbell)",,"",3,"normal",80,8,,,10
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Lat Pulldown (Cable)",,"",0,"warmup",65.9,4,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Lat Pulldown (Cable)",,"",1,"warmup",100,2,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Lat Pulldown (Cable)",,"",2,"normal",100,9,,,10
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Lat Pulldown (Cable)",,"",3,"normal",100,6,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Rear Delt Reverse Fly (Machine)",,"",0,"warmup",86.4,3,,,
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",86.4,9,,,10
"Upper 2 🐸","4 de set. de 2026, 15:16","4 de set. de 2026, 17:12","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",86.4,8,,,
